track,frame_idx,instance.score,mouth.x,mouth.y,mouth.score,L_eye.x,L_eye.y,L_eye.score,R_eye.x,R_eye.y,R_eye.score,tail.x,tail.y,tail.score,spine.x,spine.y,spine.score
track_0,0,0.9720190167427063,596.2610473632812,840.0421142578125,0.9349563121795654,620.9166259765625,844.0850830078125,0.9487769603729248,616.1251831054688,820.3956909179688,0.8772886991500854,704.7413330078125,795.799072265625,0.7107816934585571,668.3565673828125,815.7337036132812,0.950564980506897
track_1,0,0.9745451807975769,420.4299621582031,899.61572265625,0.9591050744056702,440.81903076171875,908.6043701171875,0.9608960151672363,441.0981750488281,888.3993530273438,0.9774570465087891,553.0030517578125,899.4501342773438,0.9314615726470947,500.5631408691406,899.911865234375,0.969723105430603
track_2,0,1.0053242444992065,523.8718872070312,964.4981689453125,0.9701400995254517,544.3325805664062,972.058349609375,0.9288695454597473,540.78515625,952.2241821289062,0.9407939314842224,640.2032470703125,948.660888671875,0.8705114126205444,596.2631225585938,956.08056640625,0.9630900621414185
track_3,0,1.0240654945373535,349.31494140625,948.4594116210938,1.0111345052719116,364.8427429199219,967.8392333984375,0.986007034778595,372.8651123046875,948.4432373046875,0.9731516242027283,460.9771728515625,992.2433471679688,0.870725691318512,412.9211120605469,980.1776733398438,0.9621427655220032
track_0,1,0.9717629551887512,587.7674560546875,841.0376586914062,0.8751959204673767,612.3362426757812,847.9393310546875,0.8968422412872314,604.6810913085938,824.4330444335938,0.8625265955924988,700.5405883789062,796.3723754882812,0.7301443219184875,664.0360717773438,816.2962646484375,0.9710046648979187
track_1,1,0.9707963466644287,416.9263000488281,899.5869140625,0.9448823928833008,440.28411865234375,908.551513671875,0.9698252081871033,440.55548095703125,888.337646484375,0.9893702864646912,552.49853515625,896.3709106445312,0.9311558604240417,500.23016357421875,899.8773193359375,0.9670199751853943
track_2,1,0.9994993805885315,521.1994018554688,965.2056884765625,1.027965784072876,541.53369140625,972.6246337890625,0.9318106770515442,540.76318359375,952.870849609375,0.939185380935669,637.4224243164062,948.9766235351562,0.9172149300575256,593.1534423828125,953.0166015625,0.9466321468353271
track_3,1,1.0295581817626953,344.4122619628906,945.15087890625,0.9694089889526367,360.0683898925781,964.5357055664062,1.0159807205200195,367.9951171875,945.0951538085938,0.9575976133346558,455.93792724609375,992.80859375,0.8853514194488525,411.7071838378906,976.5343017578125,0.9501445293426514
track_0,2,0.9675401449203491,580.6810302734375,844.6831665039062,0.9242109060287476,605.2962646484375,848.6312866210938,0.917815625667572,600.6676635742188,825.17236328125,0.8837411999702454,701.144287109375,796.317626953125,0.738279402256012,660.6383056640625,816.640380859375,0.9633500576019287
track_1,2,0.9736530184745789,417.16461181640625,899.49072265625,0.9685143232345581,437.494384765625,908.5040893554688,0.9587771892547607,440.64178466796875,888.2765502929688,0.9796908497810364,552.695556640625,896.3004150390625,0.915673553943634,496.92303466796875,899.8473510742188,0.9646844863891602
